To_State,Total
Georgia,592
Hawaii,182
Idaho,0
Illinois,682
Indiana,80
Iowa,68
Kansas,53
Kentucky,115
Louisiana,34
Maine,0
Maryland,12715
Massachusetts,930
Michigan,279
Minnesota,245
Mississippi,15
Missouri,132
Montana,20
Nebraska,54
Nevada,65
New Hampshire,100
New Jersey,486
New Mexico,55
New York,3479
North Carolina,906
North Dakota,0
Ohio,497
Oklahoma,110
Oregon,304
Pennsylvania,1763
Rhode Island,20
South Carolina,390
South Dakota,0
Tennessee,286
Texas,803
Utah,327
Vermont,64
Virginia,7388
Washington,976
West Virginia,290
Wisconsin,80
Wyoming,0
Alabama,7927
Alaska,615
Arizona,4864
Arkansas,1795
California,14868
Colorado,8054
Connecticut,2643
Delaware,629
District of Columbia,793
Georgia,23684
Hawaii,1266
Idaho,883
Illinois,7296
Indiana,4951
Iowa,1374
Kansas,1672
Kentucky,3724
Louisiana,3118
Maine,1544
Maryland,5473
Massachusetts,5839
Michigan,6740
Minnesota,2615
Mississippi,2378
Missouri,3771
Montana,826
Nebraska,1547
Nevada,3664
New Hampshire,1565
New Jersey,5660
New Mexico,1444
New York,12596
North Carolina,17358
North Dakota,579
Ohio,8347
Oklahoma,2138
Oregon,2061
Pennsylvania,7564
Rhode Island,1598
South Carolina,8887
South Dakota,485
Tennessee,11951
Texas,19821
Utah,1143
Vermont,361
Virginia,9661
Washington,5866
West Virginia,1224
Wisconsin,2445
Wyoming,357
Alabama,10893
Alaska,451
Arizona,2370
Arkansas,1215
California,7409
Colorado,2904
Connecticut,939
Delaware,140
District of Columbia,552
Florida,24384
Hawaii,1373
Idaho,147
Illinois,2898
Indiana,1732
Iowa,274
Kansas,987
Kentucky,1454
Louisiana,2178
Maine,177
Maryland,2669
Massachusetts,1476
Michigan,2264
Minnesota,983
Mississippi,2080
Missouri,1614
Montana,142
Nebraska,268
Nevada,1203
New Hampshire,231
New Jersey,1638
New Mexico,431
New York,4069
North Carolina,9456
North Dakota,339
Ohio,3290
Oklahoma,866
Oregon,630
Pennsylvania,3182
Rhode Island,219
South Carolina,7950
South Dakota,104
Tennessee,7556
Texas,10062
Utah,824
Vermont,127
Virginia,4573
Washington,2336
West Virginia,406
Wisconsin,1314
Wyoming,61
Alabama,512
Alaska,339
Arizona,1180
Arkansas,84
California,7130
Colorado,1787
Connecticut,431
Delaware,16
District of Columbia,12
Florida,1417
Georgia,648
Idaho,185
Illinois,324
Indiana,343
Iowa,284
Kansas,309
Kentucky,149
Louisiana,287
Maine,110
Maryland,1048
Massachusetts,203
Michigan,318
Minnesota,71
Mississippi,214
Missouri,339
Montana,33
Nebraska,35
Nevada,2620
New Hampshire,31
New Jersey,106
New Mexico,338
New York,580
North Carolina,679
North Dakota,84
Ohio,269
Oklahoma,280
Oregon,1593
Pennsylvania,417
Rhode Island,13
South Carolina,533
South Dakota,147
Tennessee,576
Texas,2870
Utah,780
Vermont,0
Virginia,1573
Washington,2087
West Virginia,73
Wisconsin,200
Wyoming,30
Alabama,22
Alaska,358
Arizona,1601
Arkansas,91
California,2210
Colorado,711
Connecticut,15
Delaware,0
District of Columbia,40
Florida,593
Georgia,460
Hawaii,210
Illinois,145
Indiana,195
Iowa,401
Kansas,37
Kentucky,138
Louisiana,172
Maine,89
Maryland,142
Massachusetts,8
Michigan,279
Minnesota,148
Mississippi,153
Missouri,416
Montana,790
Nebraska,133
Nevada,980
New Hampshire,41
New Jersey,35
New Mexico,234
New York,187
North Carolina,149
North Dakota,230
Ohio,169
Oklahoma,197
Oregon,2962
Pennsylvania,308
Rhode Island,25
South Carolina,252
South Dakota,47
Tennessee,172
Texas,878
Utah,3214
Vermont,0
Virginia,130
Washington,4984
West Virginia,43
Wisconsin,196
Wyoming,387
Alabama,1181
Alaska,644
Arizona,6765
Arkansas,1572
California,15273
Colorado,6214
Connecticut,548
Delaware,282
District of Columbia,849
Florida,16393
Georgia,6184
Hawaii,1038
Idaho,220
Indiana,12637
Iowa,4611
Kansas,1414
Kentucky,2216
Louisiana,932
Maine,274
Maryland,1481
Massachusetts,2140
Michigan,6662
Minnesota,4272
Mississippi,1294
Missouri,9133
Montana,754
Nebraska,686
Nevada,2001
New Hampshire,484
New Jersey,1177
New Mexico,452
New York,3821
North Carolina,4244
North Dakota,324
Ohio,4101
Oklahoma,1414
Oregon,1615
Pennsylvania,2336
Rhode Island,153
South Carolina,2030
South Dakota,366
Tennessee,5516
Texas,13486
Utah,1185
Vermont,34
Virginia,3091
Washington,3453
West Virginia,281
Wisconsin,11813
Wyoming,69
Alabama,1045
Alaska,18
Arizona,2626
Arkansas,587
California,3777
Colorado,1559
Connecticut,195
Delaware,27
District of Columbia,237
Florida,8848
Georgia,1783
Hawaii,231
Idaho,172
Illinois,7269
Iowa,292
Kansas,773
Kentucky,5596
Louisiana,311
Maine,18
Maryland,700
Massachusetts,773
Michigan,5163
Minnesota,1026
Mississippi,555
Missouri,1428
Montana,271
Nebraska,163
Nevada,491
New Hampshire,393
New Jersey,581
New Mexico,256
New York,861
North Carolina,2537
North Dakota,77
Ohio,6121
Oklahoma,710
Oregon,610
Pennsylvania,1201
Rhode Island,98
South Carolina,1484
South Dakota,234
Tennessee,3341
Texas,4832
Utah,533
Vermont,0
Virginia,1631
Washington,1209
West Virginia,258
Wisconsin,893
Wyoming,63
Alabama,272
Alaska,314
Arizona,1800
Arkansas,228
California,1728
Colorado,1637
Connecticut,111
Delaware,14
District of Columbia,51
Florida,2368
Georgia,575
Hawaii,309
Idaho,110
Illinois,3951
Indiana,602
Kansas,1201
Kentucky,377
Louisiana,196
Maine,163
Maryland,230
Massachusetts,182
Michigan,290
Minnesota,2490
Mississippi,113
Missouri,2793
Montana,129
Nebraska,2718
Nevada,407
New Hampshire,5
New Jersey,12
New Mexico,164
New York,496
North Carolina,790
North Dakota,339
Ohio,714
Oklahoma,370
Oregon,358
Pennsylvania,237
Rhode Island,76
South Carolina,374
South Dakota,1319
Tennessee,602
Texas,2830
Utah,320
Vermont,0
Virginia,534
Washington,445
West Virginia,48
Wisconsin,2141
Wyoming,105
Alabama,284
Alaska,593
Arizona,2032
Arkansas,991
California,1924
Colorado,2741
Connecticut,83
Delaware,143
District of Columbia,0
Florida,1969
Georgia,1928
Hawaii,340
Idaho,293
Illinois,1098
Indiana,963
Iowa,952
Kentucky,740
Louisiana,301
Maine,19
Maryland,195
Massachusetts,288
Michigan,846
Minnesota,285
Mississippi,232
Missouri,12028
Montana,139
Nebraska,2069
Nevada,414
New Hampshire,16
New Jersey,380
New Mexico,147
New York,509
North Carolina,914
North Dakota,70
Ohio,797
Oklahoma,2628
Oregon,653
Pennsylvania,421
Rhode Island,8
South Carolina,497
South Dakota,344
Tennessee,814
Texas,5221
Utah,194
Vermont,9
Virginia,881
Washington,1050
West Virginia,101
Wisconsin,215
Wyoming,124
Alabama,934
Alaska,221
Arizona,959
Arkansas,470
California,2043
Colorado,1108
Connecticut,125
Delaware,26
District of Columbia,74
Florida,6183
Georgia,1979
Hawaii,170
Idaho,119
Illinois,1404
Indiana,5261
Iowa,305
Kansas,352
Louisiana,367
Maine,226
Maryland,308
Massachusetts,296
Michigan,1194
Minnesota,351
Mississippi,462
Missouri,885
Montana,63
Nebraska,167
Nevada,196
New Hampshire,107
New Jersey,53
New Mexico,133
New York,779
North Carolina,1510
North Dakota,1
Ohio,7925
Oklahoma,552
Oregon,267
Pennsylvania,791
Rhode Island,87
South Carolina,1029
South Dakota,26
Tennessee,6361
Texas,3236
Utah,142
Vermont,276
Virginia,1925
Washington,426
West Virginia,704
Wisconsin,547
Wyoming,213
Alabama,1378
Alaska,356
Arizona,1040
Arkansas,1501
California,3114
Colorado,1553
Connecticut,287
Delaware,46
District of Columbia,135
Florida,3286
Georgia,2525
Hawaii,76
Idaho,136
Illinois,740
Indiana,579
Iowa,320
Kansas,369
Kentucky,494
Maine,11
Maryland,288
Massachusetts,827
Michigan,550
Minnesota,112
Mississippi,4378
Missouri,1108
Montana,291
Nebraska,61
Nevada,350
New Hampshire,275
New Jersey,595
New Mexico,265
New York,1048
North Carolina,1299
North Dakota,158
Ohio,697
Oklahoma,1191
Oregon,653
Pennsylvania,320
Rhode Island,52
South Carolina,1063
South Dakota,291
Tennessee,1358
Texas,15381
Utah,313
Vermont,0
Virginia,1595
Washington,867
West Virginia,110
Wisconsin,469
Wyoming,184
Alabama,62
Alaska,121
Arizona,199
Arkansas,8
California,1240
Colorado,302
Connecticut,384
Delaware,63
District of Columbia,62
Florida,2395
Georgia,216
Hawaii,0
Idaho,75
Illinois,277
Indiana,145
Iowa,0
Kansas,4
Kentucky,212
Louisiana,22
Maryland,186
Massachusetts,1905
Michigan,497
Minnesota,142
Mississippi,13
Missouri,156
Montana,41
Nebraska,3
Nevada,57
New Hampshire,1926
New Jersey,197
New Mexico,62
New York,528
North Carolina,837
North Dakota,0
Ohio,201
Oklahoma,64
Oregon,252
Pennsylvania,697
Rhode Island,238
South Carolina,409
South Dakota,0
Tennessee,478
Texas,573
Utah,39
Vermont,103
Virginia,418
Washington,128
West Virginia,87
Wisconsin,64
Wyoming,300
Alabama,375
Alaska,169
Arizona,1433
Arkansas,285
California,6757
Colorado,2073
Connecticut,863
Delaware,4320
District of Columbia,8393
Florida,9475
Georgia,2298
Hawaii,297
Idaho,113
Illinois,1380
Indiana,540
Iowa,240
Kansas,515
Kentucky,836
Louisiana,542
Maine,166
Massachusetts,1591
Michigan,708
Minnesota,758
Mississippi,284
Missouri,396
Montana,148
Nebraska,394
Nevada,572
New Hampshire,373
New Jersey,2505
New Mexico,222
New York,3646
North Carolina,5389
North Dakota,160
Ohio,1632
Oklahoma,505
Oregon,456
Pennsylvania,8441
Rhode Island,233
South Carolina,2955
South Dakota,74
Tennessee,940
Texas,4668
Utah,311
Vermont,37
Virginia,15810
Washington,1849
West Virginia,2939
Wisconsin,428
Wyoming,0
Alabama,380
Alaska,103
Arizona,1502
Arkansas,163
California,10343
Colorado,2005
Connecticut,4718
Delaware,196
District of Columbia,1005
Florida,11931
Georgia,1941
Hawaii,434
Idaho,183
Illinois,1966
Indiana,487
Iowa,133
Kansas,349
Kentucky,375
Louisiana,268
Maine,3799
Maryland,1544
Michigan,1245
Minnesota,1103
Mississippi,230
Missouri,700
Montana,217
Nebraska,95
Nevada,745
New Hampshire,10553
New Jersey,1951
New Mexico,293
New York,7192
North Carolina,3307
North Dakota,0
Ohio,1660
Oklahoma,201
Oregon,1012
Pennsylvania,2712
Rhode Island,6137
South Carolina,1943
South Dakota,78
Tennessee,1598
Texas,3884
Utah,622
Vermont,1234
Virginia,3091
Washington,2523
West Virginia,179
Wisconsin,229
Wyoming,82
Alabama,957
Alaska,244
Arizona,4272
Arkansas,665
California,5687
Colorado,2505
Connecticut,324
Delaware,16
District of Columbia,283
Florida,13427
Georgia,2853
Hawaii,129
Idaho,372
Illinois,4711
Indiana,4251
Iowa,342
Kansas,478
Kentucky,1272
Louisiana,733
Maine,421
Maryland,1085
Massachusetts,1303
Minnesota,1271
Mississippi,439
Missouri,889
Montana,360
Nebraska,397
Nevada,1195
New Hampshire,296
New Jersey,829
New Mexico,437
New York,1972
North Carolina,3646
North Dakota,59
Ohio,5675
Oklahoma,430
Oregon,811
Pennsylvania,2112
Rhode Island,194
South Carolina,1219
South Dakota,34
Tennessee,3240
Texas,5355
Utah,313
Vermont,127
Virginia,2033
Washington,1947
West Virginia,232
Wisconsin,2330
Wyoming,129
Alabama,211
Alaska,446
Arizona,5065
Arkansas,452
California,4978
Colorado,2144
Connecticut,350
Delaware,11
District of Columbia,77
Florida,4499
Georgia,1594
Hawaii,207
Idaho,307
Illinois,1959
Indiana,534
Iowa,1879
Kansas,621
Kentucky,294
Louisiana,182
Maine,0
Maryland,553
Massachusetts,602
Michigan,1032
Mississippi,48
Missouri,805
Montana,546
Nebraska,661
Nevada,1177
New Hampshire,147
New Jersey,316
New Mexico,409
New York,940
North Carolina,1090
North Dakota,3407
Ohio,1022
Oklahoma,382
Oregon,1009
Pennsylvania,1225
Rhode Island,33
South Carolina,266
South Dakota,2022
Tennessee,928
Texas,3784
Utah,173
Vermont,66
Virginia,872
Washington,1789
West Virginia,86
Wisconsin,7905
Wyoming,142
Alabama,3421
Alaska,0
Arizona,303
Arkansas,1419
California,1207
Colorado,436
Connecticut,0
Delaware,12
District of Columbia,93
Florida,2700
Georgia,2698
Hawaii,95
Idaho,25
Illinois,1204
Indiana,479
Iowa,208
Kansas,263
Kentucky,238
Louisiana,4214
Maine,43
Maryland,620
Massachusetts,99
Michigan,976
Minnesota,348
Missouri,1396
Montana,42
Nebraska,105
Nevada,373
New Hampshire,0
New Jersey,150
New Mexico,124
New York,413
North Carolina,785
North Dakota,72
Ohio,649
Oklahoma,378
Oregon,199
Pennsylvania,518
Rhode Island,48
South Carolina,375
South Dakota,13
Tennessee,4833
Texas,4609
Utah,242
Vermont,0
Virginia,994
Washington,346
West Virginia,45
Wisconsin,130
Wyoming,0
Alabama,706
Alaska,262
Arizona,2186
Arkansas,3335
California,4119
Colorado,2920
Connecticut,344
Delaware,42
District of Columbia,262
Florida,6805
Georgia,1899
Hawaii,388
Idaho,551
Illinois,7763
Indiana,1192
Iowa,2290
Kansas,11749
Kentucky,1007
Louisiana,368
Maine,44
Maryland,477
Massachusetts,704
Michigan,1886
Minnesota,1064
Mississippi,578
Montana,222
Nebraska,578
Nevada,710
New Hampshire,104
New Jersey,311
New Mexico,247
New York,1505
North Carolina,1840
North Dakota,587
Ohio,1906
Oklahoma,2384
Oregon,824
Pennsylvania,652
Rhode Island,191
South Carolina,963
South Dakota,176
Tennessee,1356
Texas,8773
Utah,712
Vermont,25
Virginia,1960
Washington,1745
West Virginia,60
Wisconsin,1188
Wyoming,275
Alabama,174
Alaska,64
Arizona,1153
Arkansas,93
California,1124
Colorado,1172
Connecticut,0
Delaware,0
District of Columbia,27
Florida,423
Georgia,235
Hawaii,78
Idaho,989
Illinois,174
Indiana,235
Iowa,129
Kansas,351
Kentucky,17
Louisiana,127
Maine,70
Maryland,91
Massachusetts,64
Michigan,296
Minnesota,320
Mississippi,76
Missouri,143
Nebraska,48
Nevada,347
New Hampshire,0
New Jersey,29
New Mexico,289
New York,60
North Carolina,335
North Dakota,890
Ohio,323
Oklahoma,3
Oregon,1375
Pennsylvania,158
Rhode Island,54
South Carolina,46
South Dakota,333
Tennessee,152
Texas,992
Utah,1047
Vermont,0
Virginia,110
Washington,2608
West Virginia,11
Wisconsin,185
Wyoming,929
Alabama,163
Alaska,11
Arizona,931
Arkansas,331
California,1307
Colorado,2737
Connecticut,5
Delaware,101
District of Columbia,172
Florida,1590
Georgia,727
Hawaii,86
Idaho,122
Illinois,1215
Indiana,256
Iowa,3096
Kansas,1297
Kentucky,134
Louisiana,110
Maine,0
Maryland,15
Massachusetts,277
Michigan,576
Minnesota,1392
Mississippi,116
Missouri,1108
Montana,151
Nevada,353
New Hampshire,30
New Jersey,191
New Mexico,53
New York,159
North Carolina,399
North Dakota,65
Ohio,463
Oklahoma,404
Oregon,166
Pennsylvania,706
Rhode Island,49
South Carolina,285
South Dakota,812
Tennessee,376
Texas,2294
Utah,243
Vermont,19
Virginia,444
Washington,352
West Virginia,0
Wisconsin,221
Wyoming,271
Alabama,424
Alaska,609
Arizona,4324
Arkansas,411
California,13907
Colorado,2666
Connecticut,125
Delaware,43
District of Columbia,33
Florida,3226
Georgia,872
Hawaii,1114
Idaho,1778
Illinois,974
Indiana,507
Iowa,161
Kansas,419
Kentucky,196
Louisiana,664
Maine,0
Maryland,367
Massachusetts,266
Michigan,1205
Minnesota,546
Mississippi,333
Missouri,864
Montana,415
Nebraska,279
New Hampshire,180
New Jersey,259
New Mexico,824
New York,1154
North Carolina,1132
North Dakota,86
Ohio,992
Oklahoma,294
Oregon,2066
Pennsylvania,809
Rhode Island,11
South Carolina,368
South Dakota,119
Tennessee,657
Texas,5001
Utah,2352
Vermont,0
Virginia,1063
Washington,2514
West Virginia,112
Wisconsin,516
Wyoming,627
Alabama,78
Alaska,66
Arizona,322
Arkansas,49
California,617
Colorado,203
Connecticut,357
Delaware,44
District of Columbia,56
Florida,3620
Georgia,507
Hawaii,24
Idaho,16
Illinois,369
Indiana,185
Iowa,0
Kansas,0
Kentucky,148
Louisiana,51
Maine,2938
Maryland,271
Massachusetts,5611
Michigan,108
Minnesota,346
Mississippi,15
Missouri,126
Montana,135
Nebraska,0
Nevada,64
New Jersey,266
New Mexico,166
New York,896
North Carolina,687
North Dakota,116
Ohio,355
Oklahoma,44
Oregon,173
Pennsylvania,289
Rhode Island,314
South Carolina,390
South Dakota,38
Tennessee,255
Texas,811
Utah,109
Vermont,1215
Virginia,659
Washington,448
West Virginia,53
Wisconsin,245
Wyoming,55
Alabama,444
Alaska,122
Arizona,2140
Arkansas,137
California,6684
Colorado,1929
Connecticut,1919
Delaware,2614
District of Columbia,567
Florida,19560
Georgia,3569
Hawaii,324
Idaho,12
Illinois,1849
Indiana,1264
Iowa,41
Kansas,255
Kentucky,170
Louisiana,459
Maine,556
Maryland,3489
Massachusetts,2250
Michigan,968
Minnesota,270
Mississippi,365
Missouri,866
Montana,51
Nebraska,281
Nevada,1204
New Hampshire,239
New Mexico,435
New York,19158
North Carolina,7401
North Dakota,284
Ohio,1935
Oklahoma,266
Oregon,479
Pennsylvania,20250
Rhode Island,241
South Carolina,2993
South Dakota,154
Tennessee,1097
Texas,5526
Utah,321
Vermont,450
Virginia,3894
Washington,2205
West Virginia,32
Wisconsin,825
Wyoming,158
Alabama,461
Alaska,379
Arizona,4610
Arkansas,225
California,2833
Colorado,3370
Connecticut,157
Delaware,117
District of Columbia,47
Florida,1845
Georgia,675
Hawaii,308
Idaho,336
Illinois,185
Indiana,384
Iowa,137
Kansas,101
Kentucky,292
Louisiana,360
Maine,95
Maryland,491
Massachusetts,255
Michigan,330
Minnesota,121
Mississippi,64
Missouri,560
Montana,78
Nebraska,610
Nevada,1067
New Hampshire,66
New Jersey,80
New York,413
North Carolina,727
North Dakota,657
Ohio,429
Oklahoma,567
Oregon,856
Pennsylvania,496
Rhode Island,12
South Carolina,399
South Dakota,96
Tennessee,379
Texas,8417
Utah,719
Vermont,135
Virginia,1023
Washington,858
West Virginia,28
Wisconsin,200
Wyoming,284
Alabama,1313
Alaska,232
Arizona,2954
Arkansas,388
California,26169
Colorado,5289
Connecticut,14280
Delaware,1642
District of Columbia,2300
Florida,39334
Georgia,9051
Hawaii,865
Idaho,420
Illinois,4216
Indiana,1160
Iowa,199
Kansas,1231
Kentucky,1059
Louisiana,1366
Maine,1250
Maryland,4555
Massachusetts,9728
Michigan,2954
Minnesota,1075
Mississippi,422
Missouri,1418
Montana,335
Nebraska,327
Nevada,1742
New Hampshire,1561
New Jersey,33733
New Mexico,833
North Carolina,15546
North Dakota,386
Ohio,4504
Oklahoma,1105
Oregon,1771
Pennsylvania,19275
Rhode Island,1276
South Carolina,6387
South Dakota,23
Tennessee,3444
Texas,11806
Utah,1254
Vermont,1473
Virginia,7764
Washington,4322
West Virginia,298
Wisconsin,799
Wyoming,167
Alabama,2749
Alaska,582
Arizona,3060
Arkansas,516
California,7477
Colorado,3162
Connecticut,1046
Delaware,468
District of Columbia,770
Florida,16035
Georgia,8024
Hawaii,1426
Idaho,534
Illinois,2718
Indiana,1703
Iowa,728
Kansas,963
Kentucky,1561
Louisiana,1023
Maine,785
Maryland,3648
Massachusetts,2155
Michigan,1999
Minnesota,1367
Mississippi,422
Missouri,1738
Montana,201
Nebraska,385
Nevada,1046
New Hampshire,731
New Jersey,1988
New Mexico,458
New York,5543
North Dakota,103
Ohio,3897
Oklahoma,915
Oregon,1574
Pennsylvania,4562
Rhode Island,354
South Carolina,17802
South Dakota,19
Tennessee,5089
Texas,7372
Utah,646
Vermont,94
Virginia,11801
Washington,2594
West Virginia,1579
Wisconsin,815
Wyoming,137
Alabama,134
Alaska,115
Arizona,1088
Arkansas,71
California,549
Colorado,823
Connecticut,51
Delaware,0
District of Columbia,2
Florida,762
Georgia,141
Hawaii,43
Idaho,398
Illinois,191
Indiana,89
Iowa,146
Kansas,137
Kentucky,89
Louisiana,101
Maine,0
Maryland,197
Massachusetts,67
Michigan,340
Minnesota,4556
Mississippi,52
Missouri,189
Montana,835
Nebraska,344
Nevada,97
New Hampshire,18
New Jersey,82
New Mexico,34
New York,212
North Carolina,296
Ohio,288
Oklahoma,146
Oregon,198
Pennsylvania,325
Rhode Island,70
South Carolina,186
South Dakota,1275
Tennessee,47
Texas,747
Utah,341
Vermont,21
Virginia,251
Washington,884
West Virginia,0
Wisconsin,413
Wyoming,289
Alabama,804
Alaska,82
Arizona,3691
Arkansas,269
California,6571
Colorado,2544
Connecticut,871
Delaware,100
District of Columbia,432
Florida,16705
Georgia,4182
Hawaii,235
Idaho,203
Illinois,3780
Indiana,6351
Iowa,558
Kansas,548
Kentucky,8203
Louisiana,800
Maine,341
Maryland,1631
Massachusetts,1056
Michigan,7613
Minnesota,1326
Mississippi,529
Missouri,1408
Montana,369
Nebraska,299
Nevada,1044
New Hampshire,220
New Jersey,1126
New Mexico,644
New York,2749
North Carolina,5439
North Dakota,19
Oklahoma,475
Oregon,693
Pennsylvania,6406
Rhode Island,241
South Carolina,3092
South Dakota,151
Tennessee,3504
Texas,5756
Utah,731
Vermont,80
Virginia,3533
Washington,1547
West Virginia,2791
Wisconsin,1069
Wyoming,162
Alabama,476
Alaska,103
